"ID","NAME","SIDE","LOCKED","PTS","EQUIPMENT","CATEGORY(s)","30 Seconds","60 Seconds","ANATOMY LISTING CODE","SOUND30","SOUND60","VIDEO","CATEGORY_L","CATEGORY_O","CATEGORY_M","CATEGORY_T","CATEGORY_BUR","CATEGORY_TDR","X2"
"121","Dumbbell Recliner Presses","1","FREE","2","Dumbbell","M, T","2","3","T","EN121_DumbbellReclinerPresses30","EN121_DumbbellReclinerPresses60","121","0","0","1","1","0","0",""
"122","Dumbbell Oblique Wipers","2","FREE","2","Dumbbell","O, BUR, L","2","3","BUR","EN122_DumbbellObliqueWipers30","EN122_DumbbellObliqueWipers60","122","1","1","0","0","1","0","ss"
"123","Dumbbell Heel Tap Wipers","1","FREE","3","Dumbbell","M, L, BUR","3","4","BUR","EN123_DumbbellHeelTapWipers30","EN123_DumbbellHeelTapWipers60","123","1","0","1","0","1","0",""
"124","Dumbbell Rock the Boats","1","FREE","3","Dumbbell","M, BUR, TDR","3","4","M","EN124_DumbbellRockTheBoats30","EN124_DumbbellRockTheBoats60","124","0","0","1","0","1","1",""
"125","Single Arm Plank Rollouts","2","FREE","2","Dumbbell","M","2","3","M","EN125_SingleArmPlankRollouts30","EN125_SingleArmPlankRollouts60","125","0","0","1","0","0","0","ss"
"126","Dumbbell Upper Circle Crunches","2","FREE","2","Dumbbell","T, TDR, O","2","3","TDR","EN126_DumbbellUpperCircleCrunches30","EN126_DumbbellUpperCircleCrunches60","126","0","1","0","1","0","1","cd"
"127","Dumbbell Toe Tap Crunches","1","FREE","2","Dumbbell","T, M, L","2","3","M","EN127_DumbbellToeTapCrunches30","EN127_DumbbellToeTapCrunches60","127","1","0","1","1","0","0",""
"128","Dumbbell Twisting Toe Taps","1","FREE","3","Dumbbell","BUR, T, M, TDR","3","4","BUR","EN128_DumbbellTwistingToeTaps30","EN128_DumbbellTwistingToeTaps60","128","0","0","1","1","1","1",""
"129","Dumbbell Side Crunches","2","FREE","1","Dumbbell","O","1","2","O","EN129_DumbbellSideCrunches30","EN129_DumbbellSideCrunches60","129","0","1","0","0","0","0","ss"
"130","Dumbbell Figure 8's","1","FREE","4","Dumbbell","BUR, L","4","NA","BUR","EN130_DumbbellFigure8s30","EN130_DumbbellFigure8s60","130","1","0","0","0","1","0",""
"131","Dumbbell Butterfly Heel Taps","1","FREE","2","Dumbbell","L","2","3","L","EN131_DumbbellButterflyHeelTaps30","EN131_DumbbellButterflyHeelTaps60","131","1","0","0","0","0","0",""
"132","Dumbbell Handoffs","1","FREE","3","Dumbbell","T, M, L","3","4","T","EN132_DumbbellHandoffs30","EN132_DumbbellHandoffs60","132","1","0","1","1","0","0",""
"133","Dumbbell Rollups","1","FREE","1","Dumbbell","T","1","2","T","EN133_DumbbellRollups30","EN133_DumbbellRollups60","133","0","0","0","1","0","0",""
